import time: self [us] | cumulative | imported package
import time:       643 |        643 |       pandas.core.reshape.merge
import time:       515 |        515 |       pandas.core.reshape.pivot
import time:       223 |        223 |       pandas.core.reshape.tile
import time:       244 |       1845 |     pandas.core.reshape.api
import time:       226 |        226 |       pandas.api.extensions
import time:       132 |        132 |       pandas.api.indexers
import time:       123 |        123 |           pandas.core.interchange
import time:       790 |        912 |         pandas.core.interchange.dataframe_protocol
import time:       192 |        192 |           pandas.core.interchange.utils
import time:       250 |        441 |         pandas.core.interchange.from_dataframe
import time:       143 |       1495 |       pandas.api.interchange
import time:       161 |        161 |         pandas.core.dtypes.api
import time:       196 |        356 |       pandas.api.types
import time:       823 |        823 |         pandas.core.resample
import time:       332 |        332 |               pandas._libs.json
import time:       216 |        216 |               pandas.io.json._normalize
import time:       196 |        196 |               pandas.io.json._table_schema
import time:       212 |        212 |                       backports_abc
import time:       632 |        843 |                     pandas._libs.parsers
import time:       632 |        632 |                       pandas.io.parsers.base_parser
import time:       257 |        888 |                     pandas.io.parsers.arrow_parser_wrapper
import time:       237 |        237 |                     pandas.io.parsers.c_parser_wrapper
import time:       370 |        370 |                     pandas.io.parsers.python_parser
import time:      1522 |       3859 |                   pandas.io.parsers.readers
import time:       193 |       4052 |                 pandas.io.parsers
import time:        23 |       4074 |               pandas.io.parsers.readers
import time:       726 |       5542 |             pandas.io.json._json
import time:       199 |       5741 |           pandas.io.json
import time:        23 |       5763 |         pandas.io.json._json
import time:      1197 |       1197 |         pandas.io.stata
import time:       215 |       7998 |       pandas.api.typing
import time:       269 |      10474 |     pandas.api
import time:       206 |        206 |           pandas._testing.contexts
import time:       353 |        559 |         pandas._testing._io
import time:       202 |        202 |         pandas._testing._warnings
import time:        45 |         45 |             cmath
import time:       396 |        441 |           pandas._libs.testing
import time:       366 |        806 |         pandas._testing.asserters
import time:       202 |        202 |         pandas._testing.compat
import time:       556 |       2324 |       pandas._testing
import time:       229 |       2552 |     pandas.testing
import time:       203 |        203 |     pandas.util._print_versions
import time:       188 |        188 |       pandas.io.clipboards
import time:       395 |        395 |           pandas.io.excel._util
import time:       317 |        317 |           pandas.io.excel._calamine
import time:       330 |        330 |           pandas.io.excel._odfreader
import time:       377 |        377 |           pandas.io.excel._openpyxl
import time:       211 |        211 |           pandas.io.excel._pyxlsb
import time:       231 |        231 |           pandas.io.excel._xlrd
import time:      1042 |       2900 |         pandas.io.excel._base
import time:       235 |        235 |         pandas.io.excel._odswriter
import time:       234 |        234 |         pandas.io.excel._xlsxwriter
import time:       258 |       3626 |       pandas.io.excel
import time:       223 |        223 |       pandas.io.feather_format
import time:       178 |        178 |       pandas.io.gbq
import time:       526 |        526 |       pandas.io.html
import time:       211 |        211 |       pandas.io.orc
import time:       389 |        389 |       pandas.io.parquet
import time:       235 |        235 |         pandas.compat.pickle_compat
import time:       264 |        499 |       pandas.io.pickle
import time:       486 |        486 |         pandas.core.computation.pytables
import time:      2935 |       3420 |       pandas.io.pytables
import time:       305 |        305 |         pandas.io.sas.sasreader
import time:       203 |        507 |       pandas.io.sas
import time:       173 |        173 |       pandas.io.spss
import time:       791 |        791 |       pandas.io.sql
import time:       730 |        730 |       pandas.io.xml
import time:       302 |      11757 |     pandas.io.api
import time:       253 |        253 |     pandas.util._tester
import time:       227 |        227 |     pandas._version_meson
import time:       601 |     242157 |   pandas
import time:       300 |        300 |       packaging
import time:       173 |        173 |       packaging._structures
import time:      1513 |       1985 |     packaging.version
import time:       346 |        346 |       matplotlib._api.deprecation
import time:       454 |        800 |     matplotlib._api
import time:       159 |        159 |     matplotlib._version
import time:       352 |        352 |       shlex
import time:       411 |        411 |       matplotlib._c_internal_utils
import time:       637 |       1400 |     matplotlib.cbook
import time:       213 |        213 |     matplotlib._docstring
import time:       527 |        527 |         matplotlib.backends.registry
import time:       206 |        732 |       matplotlib.backends
import time:       477 |        477 |           PIL._version
import time:       331 |        808 |         PIL
import time:      2057 |       2057 |           PIL.ExifTags
import time:       159 |        159 |             PIL._deprecate
import time:       392 |        550 |           PIL.ImageMode
import time:       647 |        647 |           PIL.TiffTags
import time:       206 |        206 |           PIL._binary
import time:       299 |        299 |             PIL._typing
import time:       183 |        481 |           PIL._util
import time:       193 |        193 |           defusedxml
import time:       645 |        645 |           PIL._imaging
import time:      1336 |       6113 |         PIL.Image
import time:       312 |        312 |           PIL.ImageChops
import time:       632 |        632 |           PIL.ImageFile
import time:        78 |         78 |             array
import time:       214 |        214 |             PIL.GimpGradientFile
import time:       313 |        313 |             PIL.GimpPaletteFile
import time:       285 |        285 |             PIL.ImageColor
import time:       200 |        200 |             PIL.PaletteFile
import time:       333 |       1420 |           PIL.ImagePalette
import time:       190 |        190 |           PIL.ImageSequence
import time:      1366 |       3917 |         PIL.PngImagePlugin
import time:       431 |        431 |         matplotlib._cm
import time:       450 |        450 |               matplotlib._path
import time:       310 |        310 |                 matplotlib.bezier
import time:       388 |        698 |               matplotlib.path
import time:      1090 |       2237 |             matplotlib.transforms
import time:       885 |       3121 |           matplotlib.ticker
import time:       608 |       3729 |         matplotlib.scale
import time:       481 |        481 |         matplotlib._image
import time:       527 |        527 |         matplotlib._color_data
import time:      1417 |      17420 |       matplotlib.colors
import time:       433 |        433 |           pyparsing.util
import time:       341 |        341 |             pyparsing.unicode
import time:      1094 |       1435 |           pyparsing.exceptions
import time:       293 |        293 |             pyparsing.results
import time:       340 |        633 |           pyparsing.actions
import time:      5462 |       5462 |           pyparsing.core
import time:       986 |        986 |                 html.entities
import time:       419 |       1404 |               html
import time:        22 |       1425 |             html.entities
import time:      1567 |       2992 |           pyparsing.helpers
import time:       313 |        313 |           pyparsing.testing
import time:      2356 |       2356 |           pyparsing.common
import time:       580 |      14201 |         pyparsing
import time:       329 |      14529 |       matplotlib._fontconfig_pattern
import time:       384 |        384 |       matplotlib._enums
import time:       438 |        438 |       cycler
import time:       630 |      34131 |     matplotlib.rcsetup
import time:      1345 |       1345 |     matplotlib.ft2font
import time:       229 |        229 |       kiwisolver.exceptions
import time:       653 |        882 |     kiwisolver._cext
import time:      1615 |       1615 |         matplotlib.artist
import time:       806 |       2421 |       matplotlib.colorizer
import time:       762 |        762 |       matplotlib._cm_listed
import time:       572 |        572 |       matplotlib._cm_multivar
import time:       715 |        715 |       matplotlib._cm_bivar
import time:      2108 |       6577 |     matplotlib.cm
import time:      6489 |      53977 |   matplotlib
import time:       493 |        493 |     matplotlib.markers
import time:      3220 |       3713 |   matplotlib.lines
import time:       262 |        262 |     starlette
import time:       279 |        279 |     starlette.status
import time:       171 |        171 |             fastapi.openapi
import time:       173 |        173 |                     pydantic.version
import time:       343 |        515 |                   pydantic._migration
import time:      1498 |       1498 |                     typing_extensions
import time:       292 |       1790 |                   pydantic.errors
import time:       348 |       2652 |                 pydantic
import time:       582 |        582 |                   pydantic_core._pydantic_core
import time:      5385 |       5385 |                   pydantic_core.core_schema
import time:       557 |       6524 |                 pydantic_core
import time:       216 |        216 |                 pydantic._internal
import time:       160 |        160 |                     pydantic._internal._internal_dataclass
import time:       865 |       1025 |                   pydantic.aliases
import time:       729 |        729 |                   pydantic.config
import time:       286 |        286 |                   pydantic.warnings
import time:       434 |       2472 |                 pydantic._internal._config
import time:       425 |        425 |                       pydantic._internal._typing_extra
import time:       272 |        696 |                     pydantic._internal._repr
import time:       753 |       1449 |                   pydantic._internal._core_utils
import time:      2686 |       4134 |                 pydantic._internal._decorators
import time:       233 |        233 |                   pydantic._internal._docs_extraction
import time:       247 |        247 |                   pydantic._internal._import_utils
import time:       393 |        872 |                 pydantic._internal._fields
import time:       475 |        475 |                 pydantic._internal._forward_ref
import time:       600 |        600 |                   pydantic._internal._utils
import time:       544 |       1143 |                 pydantic._internal._generics
import time:       538 |        538 |                     pydantic.plugin
import time:       417 |        955 |                   pydantic.plugin._schema_validator
import time:       612 |       1566 |                 pydantic._internal._mock_val_ser
import time:       239 |        239 |                     pydantic.annotated_handlers
import time:       283 |        283 |                       pydantic._internal._core_metadata
import time:      2130 |       2412 |                     pydantic.functional_validators
import time:       272 |        272 |                       pydantic._internal._schema_generation_shared
import time:      1500 |       1771 |                     pydantic.json_schema
import time:       290 |        290 |                     pydantic._internal._discriminated_union
import time:       304 |        304 |                     pydantic._internal._known_annotated_metadata
import time:      1723 |       6737 |                   pydantic._internal._generate_schema
import time:       246 |        246 |                   pydantic._internal._signature
import time:       224 |        224 |                   pydantic._internal._validate_call
import time:       585 |       7790 |                 pydantic._internal._model_construction
import time:       278 |        278 |                 starlette.exceptions
import time:      4795 |       4795 |                   annotated_types
import time:       319 |        319 |                   pydantic._internal._validators
import time:      4676 |       4676 |                   pydantic.types
import time:      1292 |      11080 |                 pydantic.fields
import time:       299 |        299 |                 pydantic.plugin._loader
import time:     23200 |      62696 |               fastapi.exceptions
import time:       497 |        497 |               fastapi.types
import time:       325 |        325 |                         anyio._core
import time:       486 |        811 |                       anyio._core._compat
import time:       182 |        182 |                           sniffio._version
import time:       150 |        150 |                           sniffio._impl
import time:       272 |        603 |                         sniffio
import time:       211 |        814 |                       anyio._core._eventloop
import time:       226 |        226 |                       anyio._core._exceptions
import time:       236 |        236 |                             anyio.abc._resources
import time:       260 |        260 |                                 anyio.abc._tasks
import time:       330 |        589 |                               anyio._core._tasks
import time:       203 |        203 |                               anyio._core._typedattr
import time:       496 |        496 |                               anyio.abc._streams
import time:       371 |       1658 |                             anyio.abc._sockets
import time:       189 |        189 |                             anyio.abc._subprocesses
import time:       193 |        193 |                             anyio.abc._testing
import time:       940 |        940 |                               anyio.lowlevel
import time:       236 |        236 |                               anyio._core._testing
import time:      1763 |       2937 |                             anyio._core._synchronization
import time:       299 |        299 |                               concurrent.futures.thread
import time:       370 |        668 |                             anyio.from_thread
import time:       269 |       6148 |                           anyio.abc
import time:       187 |       6335 |                         anyio.to_thread
import time:       720 |       7055 |                       anyio._core._fileio
import time:       171 |        171 |                       anyio._core._resources
import time:       151 |        151 |                       anyio._core._signals
import time:       154 |        154 |                           anyio.streams
import time:       728 |        881 |                         anyio.streams.stapled
import time:       671 |        671 |                         anyio.streams.tls
import time:       307 |       1858 |                       anyio._core._sockets
import time:       982 |        982 |                         anyio.streams.memory
import time:       205 |       1186 |                       anyio._core._streams
import time:       200 |        200 |                       anyio._core._subprocesses
import time:       416 |      12884 |                     anyio
import time:        16 |      12899 |                   anyio.to_thread
import time:       207 |      13106 |                 starlette.concurrency
import time:       347 |        347 |                 starlette.types
import time:       735 |      14187 |               starlette.datastructures
import time:      2925 |      80305 |             fastapi._compat
import time:       234 |        234 |             fastapi.logger
import time:       222 |        222 |             email_validator
import time:       160 |        160 |               pydantic._internal._serializers
import time:      1146 |       1305 |             pydantic._internal._std_types_schema
import time:     80736 |     162971 |           fastapi.openapi.models
import time:       713 |     163683 |         fastapi.params
import time:       464 |        464 |         fastapi.datastructures
import time:       229 |        229 |           fastapi.dependencies
import time:       147 |        147 |                 fastapi.security.base
import time:       877 |        877 |                   http.cookies
import time:       374 |        374 |                   starlette._utils
import time:       182 |        182 |                           multipart.exceptions
import time:       181 |        362 |                         multipart.decoders
import time:       714 |       1076 |                       multipart.multipart
import time:       272 |       1347 |                     multipart
import time:       821 |       2168 |                   starlette.formparsers
import time:       537 |       3955 |                 starlette.requests
import time:       374 |       4474 |               fastapi.security.api_key
import time:       143 |        143 |                 fastapi.security.utils
import time:      1031 |       1173 |               fastapi.security.http
import time:       688 |        688 |                 fastapi.param_functions
import time:       603 |       1291 |               fastapi.security.oauth2
import time:       199 |        199 |               fastapi.security.open_id_connect_url
import time:       265 |       7401 |             fastapi.security
import time:        27 |       7428 |           fastapi.security.base
import time:      1364 |       9020 |         fastapi.dependencies.models
import time:       176 |        176 |             starlette.background
import time:       196 |        371 |           fastapi.background
import time:       177 |        177 |           fastapi.concurrency
import time:       538 |        538 |           fastapi.utils
import time:       402 |        402 |             mimetypes
import time:       166 |        166 |             starlette._compat
import time:       725 |       1292 |           starlette.responses
import time:       326 |        326 |           starlette.websockets
import time:      1200 |       3901 |         fastapi.dependencies.utils
import time:       257 |        257 |             colorsys
import time:       490 |        746 |           pydantic.color
import time:       549 |       1295 |         fastapi.encoders
import time:       221 |        221 |           starlette._exception_handler
import time:       279 |        279 |           starlette.convertors
import time:       237 |        237 |           starlette.middleware
import time:       638 |       1374 |         starlette.routing
import time:      1374 |     181109 |       fastapi.routing
import time:       136 |        136 |         fastapi.websockets
import time:       196 |        332 |       fastapi.exception_handlers
import time:       258 |        258 |       fastapi.openapi.docs
import time:       138 |        138 |         fastapi.openapi.constants
import time:       187 |        187 |           ujson
import time:       145 |        145 |           orjson
import time:       167 |        498 |         fastapi.responses
import time:       380 |       1015 |       fastapi.openapi.utils
import time:       348 |        348 |         starlette.middleware.base
import time:       210 |        210 |         starlette.middleware.errors
import time:       185 |        185 |         starlette.middleware.exceptions
import time:       279 |       1020 |       starlette.applications
import time:      1320 |     185051 |     fastapi.applications
import time:       173 |        173 |     fastapi.requests
import time:       399 |     186162 |   fastapi
import time:       158 |        158 |     fastapi.middleware
import time:       192 |        192 |     starlette.middleware.cors
import time:       231 |        580 |   fastapi.middleware.cors
import time:       255 |        255 |     starlette.staticfiles
import time:       158 |        413 |   fastapi.staticfiles
import time:       130 |        130 |     src.core
import time:       585 |        585 |           urllib3.exceptions
import time:       289 |        289 |                   urllib3.util.timeout
import time:       991 |       1280 |                 urllib3.util.connection
import time:       299 |        299 |                   urllib3.util.util
import time:       205 |        205 |                   brotlicffi
import time:       171 |        171 |                   brotli
import time:       167 |        167 |                   zstandard
import time:       896 |       1736 |                 urllib3.util.request
import time:       204 |        204 |                 urllib3.util.response
import time:       424 |        424 |                 urllib3.util.retry
import time:      3557 |       3557 |                   urllib3.util.url
import time:       322 |        322 |                   urllib3.util.ssltransport
import time:       332 |       4210 |                 urllib3.util.ssl_
import time:       206 |        206 |                 urllib3.util.wait
import time:       350 |       8407 |               urllib3.util
import time:        19 |       8426 |             urllib3.util.connection
import time:       492 |       8918 |           urllib3._base_connection
import time:       468 |        468 |           urllib3._collections
import time:       161 |        161 |           urllib3._version
import time:       201 |        201 |                 urllib3.fields
import time:       189 |        389 |               urllib3.filepost
import time:       193 |        193 |                 brotlicffi
import time:       145 |        145 |                 brotli
import time:       132 |        132 |                 zstandard
import time:       169 |        169 |                   urllib3.http2
import time:       215 |        215 |                   urllib3.http2.probe
import time:       165 |        165 |                   urllib3.util.ssl_match_hostname
import time:       514 |       1061 |                 urllib3.connection
import time:       619 |       2149 |               urllib3.response
import time:       239 |       2776 |             urllib3._request_methods
import time:       161 |        161 |             urllib3.util.proxy
import time:       351 |       3287 |           urllib3.connectionpool
import time:       634 |        634 |           urllib3.poolmanager
import time:       387 |      14437 |         urllib3
import time:       334 |        334 |                 chardet.enums
import time:       246 |        579 |               chardet.charsetprober
import time:       262 |        841 |             chardet.charsetgroupprober
import time:       153 |        153 |             chardet.resultdict
import time:       122 |        122 |                   chardet.codingstatemachinedict
import time:       152 |        273 |                 chardet.codingstatemachine
import time:       142 |        142 |                 chardet.escsm
import time:       177 |        591 |               chardet.escprober
import time:       180 |        180 |               chardet.latin1prober
import time:       172 |        172 |               chardet.macromanprober
import time:       204 |        204 |                     chardet.big5freq
import time:       172 |        172 |                     chardet.euckrfreq
import time:       186 |        186 |                     chardet.euctwfreq
import time:       166 |        166 |                     chardet.gb2312freq
import time:       171 |        171 |                     chardet.jisfreq
import time:       397 |        397 |                     chardet.johabfreq
import time:       258 |       1551 |                   chardet.chardistribution
import time:       172 |        172 |                   chardet.mbcharsetprober
import time:       217 |        217 |                   chardet.mbcssm
import time:       351 |       2288 |                 chardet.big5prober
import time:       461 |        461 |                 chardet.cp949prober
import time:       257 |        257 |                   chardet.jpcntx
import time:       188 |        444 |                 chardet.eucjpprober
import time:       151 |        151 |                 chardet.euckrprober
import time:       137 |        137 |                 chardet.euctwprober
import time:       154 |        154 |                 chardet.gb2312prober
import time:       135 |        135 |                 chardet.johabprober
import time:       148 |        148 |                 chardet.sjisprober
import time:       142 |        142 |                 chardet.utf8prober
import time:       243 |       4300 |               chardet.mbcsgroupprober
import time:       401 |        401 |                   chardet.sbcharsetprober
import time:       242 |        643 |                 chardet.hebrewprober
import time:       395 |        395 |                 chardet.langbulgarianmodel
import time:       347 |        347 |                 chardet.langgreekmodel
import time:       366 |        366 |                 chardet.langhebrewmodel
import time:       443 |        443 |                 chardet.langrussianmodel
import time:       316 |        316 |                 chardet.langthaimodel
import time:       415 |        415 |                 chardet.langturkishmodel
import time:       227 |       3148 |               chardet.sbcsgroupprober
import time:       670 |        670 |               chardet.utf1632prober
import time:       333 |       9393 |             chardet.universaldetector
import time:       178 |        178 |             chardet.version
import time:       259 |        259 |               simplejson.errors
import time:       167 |        167 |               simplejson.raw_json
import time:       138 |        138 |                 simplejson.compat
import time:       548 |        548 |                   simplejson._speedups
import time:       288 |        835 |                 simplejson.scanner
import time:       272 |       1243 |               simplejson.decoder
import time:       351 |        351 |               simplejson.encoder
import time:       374 |       2392 |             simplejson
import time:      1505 |       1505 |             http.cookiejar
import time:       485 |      14944 |           requests.compat
import time:       459 |      15402 |         requests.exceptions
import time:       593 |        593 |               charset_normalizer.constant
import time:       385 |        385 |                 charset_normalizer.md__mypyc
import time:       258 |        258 |                 charset_normalizer.utils
import time:       535 |       1177 |               charset_normalizer.md
import time:       311 |        311 |               charset_normalizer.models
import time:       240 |       2320 |             charset_normalizer.cd
import time:       306 |       2626 |           charset_normalizer.api
import time:       172 |        172 |           charset_normalizer.legacy
import time:       122 |        122 |           charset_normalizer.version
import time:       296 |       3214 |         charset_normalizer
import time:       436 |        436 |               idna.idnadata
import time:       176 |        176 |               idna.intranges
import time:       528 |       1140 |             idna.core
import time:       134 |        134 |             idna.package_data
import time:       271 |       1544 |           idna
import time:       417 |       1960 |         requests.packages
import time:       250 |        250 |               certifi.core
import time:       330 |        580 |             certifi
import time:       197 |        776 |           requests.certs
import time:       145 |        145 |           requests.__version__
import time:       265 |        265 |           requests._internal_utils
import time:       311 |        311 |           requests.cookies
import time:       229 |        229 |           requests.structures
import time:       293 |        293 |           importlib.resources._adapters
import time:       143 |        143 |               importlib.resources._itertools
import time:       295 |        437 |             importlib.resources.readers
import time:       184 |        621 |           importlib.readers
import time:       836 |       3473 |         requests.utils
import time:       218 |        218 |               requests.auth
import time:       326 |        326 |                   stringprep
import time:       273 |        598 |                 encodings.idna
import time:       156 |        156 |                 requests.hooks
import time:       288 |        288 |                 requests.status_codes
import time:       359 |       1400 |               requests.models
import time:       164 |        164 |                 urllib3.contrib
import time:       166 |        166 |                 socks
import time:       258 |        587 |               urllib3.contrib.socks
import time:    138907 |     141111 |             requests.adapters
import time:       287 |     141398 |           requests.sessions
import time:       198 |     141595 |         requests.api
import time:       383 |     180462 |       requests
import time:       340 |        340 |       src.utils.config_loader
import time:       204 |        204 |       src.utils.indicators
import time:       295 |     181300 |     src.utils.data_provider
import time:        90 |         90 |         src.ministries
import time:       182 |        271 |       src.ministries.gong_bu_works
import time:       142 |        413 |     src.core.crown_prince
import time:        96 |         96 |       src.utils.runtime_params
import time:       147 |        243 |     src.core.zhongshu_sheng
import time:       281 |        281 |       src.ministries.xing_bu_justice
import time:       148 |        148 |       src.utils.constants
import time:       154 |        582 |     src.core.menxia_sheng
import time:       142 |        142 |       src.ministries.hu_bu_revenue
import time:       139 |        139 |       src.ministries.bing_bu_war
import time:       194 |        473 |     src.core.shangshu_sheng
import time:       137 |        137 |     src.ministries.li_bu_personnel
import time:       251 |        251 |     src.ministries.li_bu_rites
import time:        83 |         83 |       src.strategies
import time:       138 |        138 |         src.strategies.base_strategy
import time:       303 |        441 |       src.strategies.implemented_strategies
import time:       628 |        628 |             src.strategy_intent.strategy_intent
import time:       119 |        119 |               src.strategy_intent.human_intent_parser
import time:       115 |        115 |               src.strategy_intent.market_intent_generator
import time:       151 |        384 |             src.strategy_intent.intent_engine
import time:       155 |       1166 |           src.strategy_intent
import time:        16 |       1182 |         src.strategy_intent.intent_engine
import time:       310 |       1491 |       src.strategies.strategy_manager_repo
import time:       174 |       2188 |     src.strategies.strategy_factory
import time:       236 |        236 |           tushare.stock
import time:       247 |        247 |             lxml
import time:       198 |        198 |               backports_abc
import time:       193 |        193 |                 backports_abc
import time:        30 |         30 |                 lxml.re
import time:       785 |       1007 |               lxml._elementpath
import time:       227 |        227 |               rnc2rng
import time:      3218 |       4650 |             lxml.etree
import time:       340 |        340 |             lxml.html.defs
import time:       199 |        199 |             lxml.html._setmixin
import time:      1231 |       6665 |           lxml.html
import time:       641 |        641 |           tushare.stock.cons
import time:       188 |        188 |           tushare.util
import time:       244 |        244 |           tushare.util.dateu
import time:       186 |        186 |           tushare.util.formula
import time:       149 |        149 |           tushare.util.conns
import time:       229 |        229 |           tushare.stock.fundamental
import time:       600 |       9134 |         tushare.stock.trading
import time:       150 |        150 |           tushare.stock.macro_vars
import time:       228 |        377 |         tushare.stock.macro
import time:       197 |        197 |           tushare.stock.ref_vars
import time:       180 |        180 |           tushare.util.netbase
import time:       228 |        604 |         tushare.stock.classifying
import time:       129 |        129 |           tushare.stock.news_vars
import time:       203 |        332 |         tushare.stock.newsevent
import time:       332 |        332 |         tushare.stock.reference
import time:       248 |        248 |         tushare.stock.shibor
import time:       221 |        221 |           tushare.pro
import time:       166 |        166 |           tushare.pro.client
import time:       158 |        158 |           tushare.util.upass
import time:       320 |        863 |         tushare.pro.data_pro
import time:       211 |        211 |           numpy.rec
import time:       904 |       1114 |         tushare.stock.billboard
import time:       181 |        181 |           tushare.internet
import time:       265 |        445 |         tushare.internet.boxoffice
import time:       170 |        170 |         tushare.internet.indexes
import time:       141 |        141 |           tushare.fund
import time:      2223 |       2223 |           tushare.fund.cons
import time:       312 |       2675 |         tushare.fund.nav
import time:       185 |        185 |           tushare.trader
import time:       154 |        154 |           tushare.trader.vars
import time:       136 |        136 |           tushare.trader.utils
import time:       361 |        835 |         tushare.trader.trader
import time:       150 |        150 |           tushare.futures
import time:       122 |        122 |           tushare.futures.cons
import time:       222 |        493 |         tushare.futures.intlfutures
import time:       128 |        128 |         tushare.stock.globals
import time:       195 |        195 |         tushare.util.mailmerge
import time:       463 |        463 |                   bs4._typing
import time:       526 |        526 |                     soupsieve.__meta__
import time:       436 |        436 |                       soupsieve.util
import time:       974 |        974 |                           soupsieve.pretty
import time:       731 |       1705 |                         soupsieve.css_types
import time:      1102 |       2806 |                       soupsieve.css_match
import time:     11123 |      14364 |                     soupsieve.css_parser
import time:       379 |      15268 |                   soupsieve
import time:       221 |      15951 |                 bs4.css
import time:       283 |        283 |                 bs4._deprecation
import time:       204 |        204 |                     cchardet
import time:      9080 |       9283 |                   bs4.dammit
import time:       291 |       9573 |                 bs4.formatter
import time:       259 |        259 |                 bs4._warnings
import time:       350 |        350 |                 bs4.filter
import time:      1086 |      27501 |               bs4.element
import time:       197 |        197 |               bs4.exceptions
import time:       423 |        423 |                   _markupbase
import time:      1100 |       1523 |                 html.parser
import time:       348 |       1871 |               bs4.builder._htmlparser
import time:        31 |         31 |                       six.moves.urllib
import time:       272 |        272 |                         webencodings.labels
import time:       208 |        208 |                         encodings.utf_16_le
import time:       197 |        197 |                         encodings.utf_16_be
import time:       360 |       1035 |                       webencodings
import time:       638 |        638 |                       html5lib.constants
import time:       236 |        236 |                             xml
import time:       259 |        494 |                           xml.etree
import time:       611 |        611 |                           xml.etree.ElementPath
import time:       552 |        552 |                             pyexpat
import time:       709 |       1260 |                           _elementtree
import time:       932 |       3296 |                         xml.etree.ElementTree
import time:       266 |       3561 |                       html5lib._utils
import time:       808 |       6072 |                     html5lib._inputstream
import time:       147 |        147 |                           html5lib._trie._base
import time:       259 |        405 |                         html5lib._trie.py
import time:       194 |        599 |                       html5lib._trie
import time:       483 |       1082 |                     html5lib._tokenizer
import time:       186 |        186 |                     html5lib.treebuilders
import time:       297 |        297 |                     html5lib.treebuilders.base
import time:       741 |       8376 |                   html5lib.html5parser
import time:       182 |        182 |                   html5lib.treewalkers
import time:       229 |        229 |                           xml.sax.handler
import time:       236 |        236 |                           xml.sax._exceptions
import time:       377 |        842 |                         xml.sax.xmlreader
import time:       229 |       1070 |                       xml.sax
import time:       435 |       1504 |                     xml.sax.saxutils
import time:      1088 |       2592 |                   html5lib.serializer
import time:       334 |      11482 |                 html5lib
import time:       487 |      11969 |               bs4.builder._html5lib
import time:       313 |        313 |               bs4.builder._lxml
import time:       605 |      42453 |             bs4.builder
import time:       615 |      43067 |           bs4
import time:       327 |        327 |           tushare.futures.domestic_cons
import time:       252 |      43646 |         tushare.futures.domestic
import time:       189 |        189 |           tushare.coins
import time:       260 |        448 |         tushare.coins.market
import time:       269 |        269 |             tqdm._monitor
import time:       146 |        146 |             tqdm._tqdm_pandas
import time:       237 |        237 |                         colorama.ansi
import time:       379 |        379 |                           colorama.win32
import time:       249 |        628 |                         colorama.winterm
import time:       320 |       1183 |                       colorama.ansitowin32
import time:       217 |       1400 |                     colorama.initialise
import time:       270 |       1670 |                   colorama
import time:       358 |       2027 |                 tqdm.utils
import time:       505 |       2532 |               tqdm.std
import time:       131 |        131 |                 tqdm._dist_ver
import time:       179 |        310 |               tqdm.version
import time:       310 |       3151 |             tqdm.cli
import time:       184 |        184 |             tqdm.gui
import time:       302 |       4050 |           tqdm
import time:       150 |        150 |           tushare.util.format_stock_code
import time:       128 |        128 |           tushare.util.form_date
import time:       145 |        145 |           tushare.stock.rtq_vars
import time:       160 |        160 |           tushare.util.verify_token
import time:       314 |       4944 |         tushare.stock.rtq
import time:       175 |        175 |         tushare.stock.histroy_divide
import time:       475 |      67624 |       tushare
import time:       312 |      67936 |     src.utils.tushare_provider
import time:       246 |        246 |           akshare.stock
import time:       926 |       1172 |         akshare.stock.stock_profile_em
import time:       201 |        201 |           akshare.bond
import time:       267 |        467 |         akshare.bond.bond_buy_back_em
import time:       161 |        161 |           akshare.stock_fundamental
import time:       260 |        421 |         akshare.stock_fundamental.stock_gbjg_em
import time:       142 |        142 |           akshare.stock_a
import time:       472 |        472 |                 multidict._abc
import time:       502 |        502 |                   multidict._multidict
import time:       203 |        705 |                 multidict._compat
import time:       270 |       1446 |               multidict
import time:       401 |       1847 |             aiohttp.hdrs
import time:       154 |        154 |                   attr._compat
import time:       154 |        154 |                     attr._config
import time:       996 |        996 |                       attr.exceptions
import time:       153 |       1149 |                     attr.setters
import time:      1837 |       3139 |                   attr._make
import time:       265 |       3556 |                 attr.converters
import time:       173 |        173 |                 attr.filters
import time:      2379 |       2379 |                 attr.validators
import time:       197 |        197 |                 attr._cmp
import time:       194 |        194 |                 attr._funcs
import time:       169 |        169 |                 attr._next_gen
import time:       407 |        407 |                 attr._version_info
import time:       433 |       7505 |               attr
import time:       515 |        515 |                       yarl._quoting_c
import time:       322 |        836 |                     yarl._quoting
import time:       171 |       1007 |                   yarl._quoters
import time:       270 |       1277 |                 yarl._query
import time:       263 |        263 |                     propcache
import time:       422 |        422 |                       propcache._helpers_c
import time:       142 |        563 |                     propcache._helpers
import time:       225 |       1051 |                   propcache.api
import time:       231 |        231 |                   yarl._parse
import time:       143 |        143 |                   yarl._path
import time:       828 |       2252 |                 yarl._url
import time:       267 |       3794 |               yarl
import time:       460 |        460 |                   aiohttp.typedefs
import time:       496 |        955 |                 aiohttp.http_exceptions
import time:       912 |        912 |                     aiohttp.client_exceptions
import time:       373 |        373 |                       netrc
import time:       178 |        178 |                       aiohttp.log
import time:     45528 |      46078 |                     aiohttp.helpers
import time:       266 |        266 |                     aiohttp.tcp_helpers
import time:       573 |      47828 |                   aiohttp.base_protocol
import time:       213 |        213 |                     brotlicffi
import time:       146 |        146 |                     brotli
import time:       433 |        791 |                   aiohttp.compression_utils
